Annual Tuition Fee (NPR),Admission Fee (NPR),Monthly Fee (NPR),Infrastructure Score,Student-Teacher Ratio,Average Academic Score (%),Total Enrolled Students,Scholarship % Availability,Technology Access Index,Fee Increase % (YoY)
82482,6081.0,4791,67.35541727766108,24.76388203281696,43.01020236287273,803,9.123923159458524,67.56361391334788,6.850065444118043
57537,9528.0,2414,82.02166575550899,26.87727348699997,74.96049030967046,784,14.28530875451059,64.99253088438526,9.165515320447534
60895,11703.0,4587,65.34207414689342,21.32050368672937,52.88576680219806,1219,24.806958667658506,81.00076037566835,1.4378075587561465
56045,10749.0,2812,53.183006330570336,19.49033152561634,70.14651223692316,670,9.449591319145306,0.0,5.722338743340914
57813,7572.0,4069,68.26292955505792,21.78142852123174,69.50251054822363,978,10.560794280435935,86.1182407757621,3.9294177130381085
46168,12055.0,4130,65.70992676746809,25.54880077055936,72.84237038527048,1113,18.635019413878023,98.23907782204165,4.496430556950999
39823,8059.0,4410,90.02246237624706,23.79378298677738,59.472622031338275,1656,12.845759679394462,58.174732333533214,8.857941456996148
57271,7714.0,5000,79.67718480341514,26.068987985943544,79.49043884890825,1593,9.200420719025546,46.24159379294211,7.43372294051113
25781,10176.0,3968,76.35412622853352,22.422467531389344,67.96411056247707,128,15.607432877966652,55.384286094969276,9.11461473582806
58881,12837.0,2835,54.414653658981436,23.810176307321505,58.84582049786117,1397,5.023197287758791,56.65357275361518,2.192862875270832
56345,10967.0,3534,89.1687970477836,19.890198266817013,51.85256238565188,203,10.674289770496951,43.87848985194833,0.8247950848399501
42931,12790.0,4405,100.0,21.94154205959626,77.37885469958886,547,16.05698486548455,28.691051774464693,7.4667842525125945
52264,11428.0,3189,72.49243024925823,26.426480693497002,46.93676469956293,1315,17.77024722916578,64.95603653352222,7.573509772960055
40893,3976.0,5876,89.82855972499313,10.0,74.15411696608354,1778,12.557796774407164,70.61529197175376,3.6136829670365476
38801,9007.0,5291,84.83418922511186,22.558789846405524,68.21607796551164,416,13.487317310288462,27.987893146324765,9.12477142554517
61460,7089.0,3770,76.18878554942738,21.21887516172064,62.83965871873686,1664,15.662940526133426,22.50286833658018,7.662699514680589
52289,8131.0,4441,89.26795335954053,19.04948887010184,69.20126408477263,1388,15.22945043684925,27.878639958223744,4.211814345411477
73745,11509.0,3724,66.55868677613296, 34.731932868155084 ,81.85685396918572,392,21.2411187315658,86.35397440296043,4.675217393120384
81271,8774.0,5923,84.09369452452322,23.66546635090111,95.68308677014787,1646,17.547995738447938,81.23229490864053,6.516541203569159
58202,11844.0,2100,93.82890731465426,30.159374243513557,61.673984640149754,1821,24.897079696286006,66.40190119495563,3.8873825926599146
53631,6102.0,5030,66.00021712078285,33.69207245105633,62.99603939613283,138,15.548386761638929,83.90986585590113,1.8257252604678174
